state	office_family	fact_field	status	value	authority_type	legal_locator	effective_date	direct_derived	review_required	authority_url	paraphrase
NV	GOVERNOR	Minimum Age	KNOWN	25 years	CONSTITUTION	Nev. Const. art. 5, § 3	1864-10-31	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art5Sec3	Attained age of 25 years at time of election.
NV	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Nev. Const. art. 5, § 1, 2	1864-10-31	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art5	Supreme executive power.
NV	GOVERNOR	State Residence Duration	KNOWN	2 years	CONSTITUTION	Nev. Const. art. 5, § 3	1864-10-31	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art5Sec3	Citizen resident of the State of Nevada for two years next preceding election.
NV	GOVERNOR	Term Limit Rule	KNOWN	2_TERMS_LIFETIME	CONSTITUTION	Nev. Const. art. 5, § 3	1970-11-03	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art5Sec3	No person may be elected governor more than twice. Serving >2 years of another term limits election to once. Max 10 years total.
NV	LIEUTENANT_GOVERNOR	Term Limit Rule	KNOWN	12_YEARS_LIFETIME	CONSTITUTION	Nev. Const. art. 15, § 3(2)	1996-11-05	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art15Sec3	Ineligible to be elected if has served or will have served 12 years or more (three 4-year terms).
NV	LOWER_CHAMBER	Minimum Age	KNOWN	21 years	STATUTE	NRS 218A.200	1957-01-01	DIRECT	false	https://www.leg.state.nv.us/NRS/NRS-218A.html#NRS218ASec200	Attained the age of 21 years on or before date of general election.
NV	LOWER_CHAMBER	Office Existence	KNOWN	true	CONSTITUTION	Nev. Const. art. 4, § 1, 3	1864-10-31	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art4	42-member Assembly.
NV	LOWER_CHAMBER	State Residence Duration	KNOWN	1 year	STATUTE	NRS 218A.200	1957-01-01	DIRECT	false	https://www.leg.state.nv.us/NRS/NRS-218A.html#NRS218ASec200	Citizen resident of this State for 1 year next preceding election.
NV	LOWER_CHAMBER	Term Limit Rule	KNOWN	12_YEARS_LIFETIME	CONSTITUTION	Nev. Const. art. 4, § 3	1996-11-05	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art4Sec3	No person may be elected to the Assembly who has served 12 years or more (six 2-year terms).
NV	UPPER_CHAMBER	Term Limit Rule	KNOWN	12_YEARS_LIFETIME	CONSTITUTION	Nev. Const. art. 4, § 4	1996-11-05	DIRECT	false	https://www.leg.state.nv.us/const/nvconst.html#Art4Sec4	No person may be elected to the Senate who has served 12 years or more (three 4-year terms).
